label,Turbidity,pH,Rainfall,Nitrogen,Phosphorus,Potassium,Humidity
Crocus,0.32,6.03,148.41,1.92,0.7,1.24,76.73
Dill,3.17,7.21,655.56,1.26,0.94,1.81,62.12
Spearmint,0.61,7.45,358.78,2.58,0.76,1.89,69.87
Marigold,1.51,7.29,657.19,1.26,1.13,1.27,44.14
Stevia,2.97,6.96,578.65,2.01,0.58,1.99,55.43
Bay leaf (Bay laurel),2.65,6.96,588.6,1.78,1.14,1.18,42.4
Morning glory,0.98,6.94,466.07,1.62,1.19,1.08,56.48
Peppermint,2.86,7.24,372.97,2.14,0.98,1.29,81.8
Oregano,2.79,7.81,389.21,1.43,1.08,1.2,53.13
Mint,2.9,6.23,1423.12,1.8,1.11,1.18,79.39
Sweet pea,3.06,7.48,597.84,2.43,0.76,1.73,69.87
Lemon verbena,2.51,5.86,1028.92,1.05,0.6,1.43,60.43
African violet (Saintpaulia),4.53,7.02,412.81,0.92,1.23,2.41,76.78
Cilantro,4.25,6.13,849.67,2.44,1.43,1.17,51.84
Sage,1.62,7.71,389.9,1.92,0.74,1.31,48.99
Impatiens,1.29,5.82,428.97,2.84,1.08,1.9,58.87
Rosemary,1.3,7.48,850.3,2.25,0.82,1.81,63.79
Lily,2.15,6.52,702.24,0.58,0.74,2.49,67.26
Tulip,4.24,6.3,714.14,1.61,1.39,2.09,74.72
Daffodil,3.9,7.19,544.97,1.02,0.61,2.47,30.2
Sunflower,1.17,5.87,794.32,1.35,1.19,1.13,77.92
Rosemary,1.22,7.98,407.99,1.78,1.1,1.87,58.97
Spider plant (Chlorophytum comosum),3.53,6.91,142.51,2.58,1.36,1.56,46.82
Rosemary,1.16,6.3,1113.39,1.63,1.07,1.47,64.3
Geranium,1.79,6.12,366.28,2.13,1.14,1.1,56.82
Spearmint,4.62,6.22,1011.17,2.04,1.05,2.39,85.97
Peace lily (Spathiphyllum),1.52,6.01,762.04,1.37,1.22,2.2,33.72
Chives,0.85,7.11,688.07,3.28,0.68,1.56,57.31
Cilantro,2.92,7.23,1148.72,1.51,0.64,1.13,61.26
Jade plant (Crassula ovata),0.19,7.43,230.71,2.81,0.3,0.79,79.69
Sunflower,1.5,6.39,716.27,1.3,0.7,1.49,66.91
Daffodil,4.93,5.59,474.91,2.65,0.6,1.52,69.02
Lemon verbena,0.99,6.01,1032.67,1.77,0.98,1.8,67.65
Aloe vera,1.28,5.51,459.88,2.51,0.82,1.96,39.1
Tomato,1.96,5.55,975.68,2.08,1.39,1.59,55.15
Lemon balm,1.88,6.96,405.64,2.0,0.54,1.2,58.45
Fennel,1.51,7.41,587.08,1.8,0.91,1.74,67.93
Marjoram,3.18,6.09,740.39,1.34,1.04,1.03,58.64
Tulip,2.27,6.3,179.28,1.01,0.56,1.01,47.04
African violet (Saintpaulia),1.77,5.85,147.52,1.78,0.91,0.72,44.58
Fennel,2.39,6.09,681.4,1.22,0.91,1.39,56.6
Impatiens,1.23,6.19,506.98,1.44,0.94,1.19,66.09
Snake plant (Sansevieria trifasciata),2.24,5.83,696.46,2.16,0.42,0.68,75.01
Rosemary,2.69,6.7,792.94,1.41,0.56,1.67,63.34
Spider plant (Chlorophytum comosum),0.52,6.2,359.11,2.65,1.32,0.73,45.29
Spider plant (Chlorophytum comosum),0.94,5.87,273.26,1.93,0.22,0.89,34.26
Tarragon,3.25,7.01,670.26,2.21,0.95,1.31,45.31
Jade plant (Crassula ovata),3.32,7.04,578.91,2.64,0.19,2.31,76.23
Rosemary,2.28,7.78,847.94,2.98,0.52,1.29,57.3
Lavender cotton (Santolina),3.48,7.73,701.47,2.15,0.74,1.05,53.8
Spearmint,1.02,7.45,493.82,1.79,0.59,2.22,69.21
Iris,1.82,7.1,155.91,1.05,0.63,0.84,46.64
Lavender cotton (Santolina),2.81,6.8,591.44,1.51,1.13,1.07,44.86
Nasturtium,1.46,6.12,213.56,1.35,0.93,1.7,72.71
Geranium,0.66,6.59,708.06,1.79,0.73,1.07,75.08
Sweet pea,1.73,7.34,796.22,1.89,0.81,1.51,60.43
Orchid,2.43,7.23,659.59,0.79,0.44,1.93,38.68
Spider plant (Chlorophytum comosum),3.14,7.26,118.13,2.83,0.42,2.28,76.91
Fennel,3.16,7.9,282.52,2.09,0.72,1.85,61.08
Pansy,1.88,6.74,876.33,1.36,0.72,1.92,58.16
Oregano,1.22,7.3,427.25,1.72,1.42,1.06,67.34
Calendula (Pot marigold),1.52,6.02,433.62,1.7,0.7,1.76,65.73
Peppermint,4.83,7.4,476.29,1.49,1.05,1.14,79.44
Cilantro,0.83,7.31,764.96,2.94,0.88,2.28,67.76
Thyme,3.32,7.66,832.06,1.41,0.63,1.11,73.69
Sage,1.46,7.34,606.39,1.99,0.56,1.86,45.71
Lily,4.84,6.57,747.01,2.88,1.19,1.98,37.51
Bay leaf (Bay laurel),1.68,7.27,607.46,2.05,1.0,1.69,52.09
Lavender,3.08,7.32,528.71,1.27,1.14,0.95,61.2
Bay leaf (Bay laurel),2.46,6.24,518.04,1.53,0.84,1.2,41.55
Parsley,0.89,7.18,1092.03,2.25,0.81,1.7,64.48
Orchid,1.92,6.73,108.06,2.47,0.36,1.52,45.03
Lavender,2.03,7.41,528.56,1.96,0.87,0.86,62.35
Dill,1.16,7.32,294.61,1.33,0.82,1.22,46.62
Snake plant (Sansevieria trifasciata),3.35,6.31,796.28,1.41,1.12,1.89,55.18
Lily,4.42,5.6,705.05,0.76,1.2,2.18,51.53
Calendula (Pot marigold),2.07,6.74,338.78,1.15,0.74,1.32,61.59
Oregano,2.47,7.53,394.8,2.05,1.19,1.7,40.26
Lily,1.68,5.64,530.42,2.0,1.3,2.18,77.65
Spearmint,2.94,6.84,1185.63,2.73,0.65,1.38,62.41
Coriander (Cilantro),1.22,7.12,940.54,1.78,1.08,1.7,69.14
Pothos (Epipremnum aureum),1.75,6.05,641.42,2.7,1.32,0.88,30.08
Tarragon,1.38,7.43,236.5,1.91,0.8,1.35,40.32
